"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"MrGilgamesh","20 February 2020","One of the best dragon ball movies i had the pleasure of seeing from the art atyle to the fighting it is breathtaking the story of planet vegetas downfall to the backstory of Broly which now makes sence it was amazing.","
            8/10
            "
"darkreignn","18 January 2021","I'm not the biggest Dragon Ball Z fan, but when my cousin wanted to watch ""Dragon Ball Super: Broly"" with me, I decided to give it a shot. And I'm glad I did. ""Dragon Ball Super: Broly"" is packed with high-octane and colorful action, warmhearted humor, and even some emotion and heart. Don't believe me? Read on!""Dragon Ball Super: Broly"" hooked me almost right off the bat. The animation was crisp, colorful, and clear, and the story was surprisingly gripping. In the first ten to fifteen minutes you're introduced to plot points including themes such as paranoia, planetary domination, and betrayal. And as if that wasn't enough to grip me, at a certain point I even found my eyes starting to swell up; my cousin looked over to me, asking, ""Are you going to cry?"" And I wiped my eyes and said, ""I might.""So, ""Broly"" has high-quality animation, and a surprisingly well thought out plot - what else does it have going for it? For one, the soundtrack is, simply, epic. The music is big and brash and loud, and enhances the intensity of the action, as well as adds to the emotional beats.Also, the movie has a really good sense of humor throughout that never seems overly ridiculous or cartoony; there are multiple subtle lines of dialogue or sly actions that the characters make that add a real personality to this movie, never contrasting negatively against the semi-dark plot. Sure, there is comedy, but it doesn't feel shoehorned for mass audience appeal - everything feels surprisingly natural.""Dragon Ball Super: Broly"" is a genuinely good film. There's enough cinematic meat for you to chew on with its soundtrack and beautiful, fluid animation, and especially with its story - the movie takes its time setting up the main plot, introducing characters and storylines that you'll want to see through to completion, even if you're not a huge fan of DBZ.","
            10/10
            "
"sudharsan-sudha12","14 December 2018","A must watch film for every anime lover's who watched DB.","
            9/10
            "
"nmn34","20 January 2019","I cannot stress this enough, this is not a good introduction into the Dragonball series. If you have not watched the series, do not watch this movie. It will simply make no sense and you will get absolutely nothing out of it. Now that out of the way, this is definitely one of the best Dragonball movies, if not the best.To really see what the movie does well, its important to understand what its predecessors do wrong. They treat the movie like its own story arch, with a big bad and his minions scheming for the dragonballs, tree of life, a can of Coke or whatever, and its up to the heroes to come together and curb stomp them all in short, unimpressive fights. After laying out Toriyama's shopping list disguised as antagonists, the big bad readies to fight them to close out the last ten minutes and gets eliminated by some sort of plot device like Gohan's dormant power, a Hail Mary energy blast, or whistling. There is little catharsis and the villains are tossed in the trash never to be heard from again. Except for Broly. The hulking behemoth gets center stage in this movie, after exploring his character he is thrown headlong into a brutal slobber knocker that carries the movie further than any cockamamie scheme and cannon fodder ever could. The fight itself is masterfully paced, Broly has been fighting for training wheels all his life and finally meeting someone that can match him he just keeps improving until he can match the overpowered heroes. As they escalate, so does he until he becomes an unstoppable monster devoid of reason and mercy. It in itself tells an interesting story that can't be expressed in words. Finally, Broly is the main event threat that he is designed to be.This leads us back to another massive improvement, in spite of the popularity of the character, Broly's prior appearances aren't good. In fact, the chatracter's backstory has been downright stupid. In his first outing, his personal driving force was his disdain for baby Goku's crying when they were in the nursery. Its a postnatal grudge match, as ridiculous as that sounds. Sure there is the grudge his father has for Vegeta and the Saiyan race but most of it is Goku's crying. This is followed up with his clone Bio-Broly who melts pretty much instantly and can't even speak. To fix the character with one of the worst backstories the movies had ever contrived, they focused on what worked. Broly has never interacted with any of the main cast, he hasn't interacted with anyone but his father since before the series starts. Stranded together, the two have done nothing but refine him into a killing machine to reek revenge upon the Saiyan race that scorned them. He was a monster made, living a childhood devoid of kindness or care, the only creature he can endear himself to is a massive carnivorous beast and even that is taken from him by his tyrannical father. When he is found and brought before Frieza, he is seen as an impressive tool to avenge his defeat at the hands of Goku but proves too powerful for the alien tyrant to control. There is nothing superfluous about him, he is a force of nature that threatens the earth.With such a direct plot, its the fight that everyone paid to see and it gives everything in spades. The animation is crisp as it transitions into CGI and everything has a good sense of weight. Goku getting slammed alas Loki in the Avengers doesn't look like he is made of feathers, Broly slings him around like a bag of hammers while the heroes body goes ragdoll. There are plenty of zippy movements that lead into a very visually appealing scene where they break time and space with their fighting only to smash their way back. They even manage to work in some funny comedy as Goku and Vegeta rope Frieza into the fight. The only real complaint is how the initial fight with Vegeta ends, Goku simply steps in and Vegeta doesn't complain. It lacks any decisive winner and transitions poorly.Again, if you are a fan of the series this is a must see, but if not know that it does not explain anything. If anything I said doesn't make sense its only a fraction of the show specific terms that they will not define. There are flashbacks to scenes from the series that well have no context for those who have not seen them and characters who get no introduction at all. This is specifically for the fans","
            10/10
            "
"calebpackers","15 December 2018","Just simply awesome I watched the and it's such a great movie with good plot, great animation and a great way to fix Broly","
            10/10
            "
"saimazaidi","14 December 2018",""" THIS IS A NON SPOILER REVIEW""
Review:-
This is an absolute gem of a movie. Modern Dragon ball can't get any better than this. It was really phenomenol.
Here a few key features of the movie
(i) PLOT :
The movie is divided into 2 phases. The ""Past&The Present"". The start of the movie is all about the history of the saiyans. The movie does a half an hour long depiction of the history of the saiyans. The past is mostly based off ""DB MINUS"" with a few tid bits from the ""Bardock: The Father of Goku"".
The movie is more about broly. Broly was a saiyan with really high potential. King vegeta being jealous of broly's latent potential decided to send away baby broly to a far away planet ""Vampa"". Paragus(Father of broly) being betrayed by The King, vowed to find his son and one day get revenge on the king.
The movie explains about the ties of fate between Goku, Vegeta and Broly.
The present section of the movie takes place after ""THE TOURNAMENT OF POWER"". Its about the encounter of the 3 fated saiyans with each other.
Pretty simple plot not too complex or anythig but is really well written and executed pretty well!(ii) ANIMATION:
The animation of this movie is out of this world. Toriyama and Toei Animation decided to change the animation supervisor and character designer ""Tadayoshi Yamamuro"" to ""Nahiro Shinatni"". His animation is more fluid and gives a refreshing feel to the movie.
There is a use of CG as well. In short this is the best anime movie of 2018 when it comes to animation.
Having animators from My hero academia, one punch man etc working on it. Also got Toei's best staff with the likes of Naotoshi Shida, Yuya Takahashi, Naoki tate and other great animators.
The movie is a one hour and fourty minutes of pure "" SAGAKA"".(iii) MUSIC AND DIRECTION
Movie director is ""Nagamine"" who produced one of the best episodes of super like episode 95 or the introduction of Ultra Instinct etc.
The movie is directed really well by him. His story boards were really amazing.
The music is composed by "" Sumitomo"" who had his fair share of criticism from the fans because of his music in the beginning of super. His music in battle of gods was pretty good but in this movie its so emotional and captivating.
(iv) FIGHT SCENES:Dragon Ball is known for producing some of the best fights in all of anime. And this movie is no exception. With the likes of takahashi and Naotoshi shida handling the main action parts of the film, the fight scenes are absolutely mind blowing. Especially the final section of the movie where Shida brings his A game to the movie, shida mixed with Shinatni sheets produced some of the best fights in all of anime.(v) PROBLEMS:
Nothing is perfect and Dragon ball Super broly also had some tiny problems as well.
1. RUSHING: Sometimes the movie felt a bit rushed. Mainly because the original script of the movie was actually 3hours long so they had to narrow it down to 1 hour 40 minutes.That is why some sections are abit rushed but its not that big of a deal.
2.Lack of Tension : THE movie lacked tension as compared to the days of dbz. But still its just a tiny problem not that big of deal to ruin a movie.
3.Retcons :
There were a few retcons here and there. but i can ignore such retcons as they don't seem that big to me.(VI) CONCLUSION:
You should absolutely watch this movie.
Not only its animated really well ,it show case some of the best fights of 2018, and it has great music too. Please go and watching this movie in the theatres. Its theatrical experience will blow your mind.
Overall its a pretty solid movie.
9/10 for me !!!","
            10/10
            "
"lucasrabello","15 December 2018","Incredible movie, TOEI loses time when it does not make Dragon Ball movies.","
            9/10
            "
"Abir-Xtreme","15 December 2018","When Dragon Ball finally returned after its big hiatus with Battle of Gods, the expectations and the excitement were both at their zenith. Unfortunately, it failed to hold onto it with the poorly directed and somewhat unoriginal Resurrection of F. What followed was even worse with a poorly scheduled animated series that threw the animators between a rock and a hard place. The result was mass disappointment and criticism for the once beloved franchise and it wasn't until the Zamasu arc did people start seeing glimpses of what was once adored. By the time the tournament of power arc rolled around, the animation quality had gotten up considerably and while the storytelling still needed some work the direction overall was better. In a way, Dragon Ball Super Broly is a reward for those who stuck by the series despite the issues because it conquers everything that went wrong before.Let us begin, up first I would like to get the bad out of the way. The only real problem I have with the movie is the incredibly bland retelling of the Dragon Ball Minus Manga. It is by far the least creative thing Toriyama has ever produced and it hurts me a bit that they did not keep the original Anime's take on things. However, that being said it was a fun experience to see Goku's mother Gine finally drawn out in front of us. Couple that with Toei's attempt to pay some homage to the original Bardock story with a very similar demise and it does give the older fans something to feel good about early on. The other negative is the sudden super realistic CGI that is used between all this amazing 2d animation, which can kick you out of the immersion if you notice it for a bit.Now let us focus on the actual movie and see what it offers, the general idea of the story is to connect a line between our main characters Goku and Vegeta with the new and improved Broly. When I say 'IMPROVED' I mean that in every send of the word. The little things with Broly before any of the action even begins is what actually makes you like him. Director Tatsuya Nagamine essentially split Broly into two beings, one is this curious and unsociable outcast that really just wants to be loyal to his father and feels disconnected from the world due to his unfortunate circumstances. The other side is shown during the intense action scenes when he sheds all emotion and turns into a savage monster that embodies everything from the original noncanon movie. This way you somewhat satisfy both the casual fans who want him to be the hulk of the franchise and those who wanted more depth in the character.Now the general plot without any major spoilers comes down to Freeza attempting to steal the Dragon balls yet again though this time for a far more ridiculous goal and while doing so, some of his soldiers come across Broly and Paragus who were outcast by King Vegeta out of sheer jealousy. They are convinced by Freeza that the best way to exact due revenge would be to travel to Earth and take down Vegeta, the eldest son of the late King Vegeta. Which automatically sets Broly on a collision course against Goku as well. They arrive on an icy land and so begins the battle. Here is where I would like to start talking about the animation and voice acting, for the longest time I looked at other animated Japanse shows like My Hero Academia, Mob Psycho and One Punch man and said to myself, how amazing would it really be If Dragon Ball could match that level? Well, I am glad to tell you guys that they have matched and exceeded our expectations for animation here. The kind of madness at display here is nothing but pure excellence. Which is expected when you have the likes Yuya Takahashi, Yuki Hayashi, Naotoshi Shida, Yoshihiko Umakoshi, Chikashi Kobuta and Ryo Onishi pulling the strings behind the frames. All this is only possible due to Naohiro Shintani freeing us from the shackles of Tadiyoshi Yamamura who had plagued the animated series with his poor designs. As for the voice acting, while I haven't had the pleasure to hear the English cast yet I can assure fans of the Japanese version that they bring out some of their best performances yet. Especially the voice acting of Katsuhisa Hôki as Paragus, he completely knocks it out of the park with arguably the most complex character. Aya Hisakawa, who had the incredibly hard job of replacing Hiromi Tsuru was also more than adequate. Other highlights include Nana Mizuki as Cheelai and of course Masako Nozawa for multiple characters.Overall, I am happy that Toei Animation finally took the steps necessary to evolve their most valuable series through this movie and I hope this continues in the years to come.Dragon Ball Super Broly is one of the best animated films of the year and provides you with Akira Toriyama's trademark humor and out of this world battles, which is only taken to the next level by the fantastic direction of Tatsuya Nagamine.","
            10/10
            "
"Saiyan_Prince_Vegeta","21 December 2018","Well, this movie is pretty logical and I'm glad they are taking this stuff seriously. There were some confusing things but they were pretty much explained.
It is clear why Goku's parents did not leave to Earth with him (enemy would sense them). It is clear what was happening during the hour when Gogeta was in bad shape (Whis was distracting Broly).The only question I have is why Goku didn't use SSB Kaio Ken x20, but probably he didn't want to break his body because thought that will not help.It's cool that Gogeta used the mastered version of SSB transformation.
It is good that Vegeta pretty much received as much attention as Goku.
I'm glad that they didn't make Broly extremely strong and he actually easily lost to Gogeta, because power levels are getting out of hand now. But if you give them time it's ok. I just wonder what's gonna happen with Broly? We will have now 3 main characters, wtf? Even Vegeta did not get his shine yet, Goku always gets everything first.The only reason I give this 8/10 is because I was lacking overwhelming emotions. The strongest emotion I had was when Broly attacked Vegeta and Vegeta smiled. I was like ""omg, that's my man Vegeta!"". Also there were a few nice emotional moments from the past of Goku.","
            10/10
            "
"contatoclima","15 December 2018","Absolutely fantastic, for more movies and anime Dragon Ball.","
            9/10
            "
