"","title","author","subject","abstract","meta"
"1","Will GPT-4 Run DOOM?","Adrian de Wynter","Computation and Language (cs.CL)","We show that GPT-4's reasoning and planning capabilities extend to the 1993 first-person shooter Doom. This large language model (LLM) is able to run and play the game with only a few instructions, plus a textual description--generated by the model itself from screenshots--about the state of the game being observed. We find that GPT-4 can play the game to a passable degree: it is able to manipulate doors, combat enemies, and perform pathing. More complex prompting strategies involving multiple model calls provide better results. While further work is required to enable the LLM to play the game as well as its classical, reinforcement learning-based counterparts, we note that GPT-4 required no training, leaning instead on its own reasoning and observational capabilities. We hope our work pushes the boundaries on intelligent, LLM-based agents in video games. We conclude by discussing the ethical implications of our work.","Fri, 8 Mar 2024 17:30:41 UTC (1,688 KB)"
"2","Hidden monotonicity and canonical transformations for mean field games and master equations","Mohit Bansil, Alpár R. Mészáros","Analysis of PDEs (math.AP)","In this paper we unveil novel monotonicity conditions applicable for Mean Field Games through the exploration of finite dimensional $canonical\ transformations$. Our findings contribute to establishing new global well-posedness results for the associated master equations, also in the case of potentially degenerate idiosyncratic noise. Additionally, we show that recent advancements in global well-posedness results, specifically those related to displacement semi-monotone and anti-monotone data, can be easily obtained as a consequence of our main results.","Fri, 8 Mar 2024 16:22:04 UTC (19 KB)"
"3","Trust Recognition in Human-Robot Cooperation Using EEG","Caiyue Xu, Changming Zhang, Yanmin Zhou, Zhipeng Wang, Ping Lu, Bin He","Human-Computer Interaction (cs.HC)","Collaboration between humans and robots is becoming increasingly crucial in our daily life. In order to accomplish efficient cooperation, trust recognition is vital, empowering robots to predict human behaviors and make trust-aware decisions. Consequently, there is an urgent need for a generalized approach to recognize human-robot trust. This study addresses this need by introducing an EEG-based method for trust recognition during human-robot cooperation. A human-robot cooperation game scenario is used to stimulate various human trust levels when working with robots. To enhance recognition performance, the study proposes an EEG Vision Transformer model coupled with a 3-D spatial representation to capture the spatial information of EEG, taking into account the topological relationship among electrodes. To validate this approach, a public EEG-based human trust dataset called EEGTrust is constructed. Experimental results indicate the effectiveness of the proposed approach, achieving an accuracy of 74.99% in slice-wise cross-validation and 62.00% in trial-wise cross-validation. This outperforms baseline models in both recognition accuracy and generalization. Furthermore, an ablation study demonstrates a significant improvement in trust recognition performance of the spatial representation. The source code and EEGTrust dataset are available at this https URL.","Fri, 8 Mar 2024 11:28:51 UTC (1,624 KB)"
"4","Using Machine Learning to Separate Cherenkov and Scintillation Light in Hybrid Neutrino Detector","Ayse Bat","Instrumentation and Detectors (physics.ins-det)","This research investigates the separation of Cherenkov and Scintillation light signals within a simulated Water-based Liquid Scintillator (WbLS) detector, utilizing the XGBoost machine learning algorithm. The simulation data were gathered using the Rat-Pac software, which was built on the Geant4 architecture. The use of the WbLS medium has the capability to generate both Scintillation and Cherenkov light inside a single detector. To show the separation power of these two physics events, we will use the supervised learning approach. The assessment utilized a confusion matrix, classification report, and ROC curve, with the ROC curve indicating a performance result of $0.96 \pm 1.2\times 10^{-4}$. The research also aimed to identify essential parameters for effectively distinguishing these physics events through machine learning. For this, the study also introduced the SHAP methodology, utilizing game theory to assess feature contributions. The findings demonstrated that the number of hits has a significant effect on the trained model, while the mean hit time has a somewhat smaller impact. This research advances the utilization of AI and simulation data for accurate Cherenkov and Scintillation light separation in neutrino detectors","Fri, 8 Mar 2024 09:51:09 UTC (1,723 KB)"
"5","Safe Pareto Improvements for Expected Utility Maximizers in Program Games","Anthony DiGiovanni, Jesse Clifton","Computer Science and Game Theory (cs.GT)","Agents in mixed-motive coordination problems such as Chicken may fail to coordinate on a Pareto-efficient outcome. Safe Pareto improvements (SPIs) were originally proposed to mitigate miscoordination in cases where players lack probabilistic beliefs as to how their delegates will play a game; delegates are instructed to behave so as to guarantee a Pareto improvement on how they would play by default. More generally, SPIs may be defined as transformations of strategy profiles such that all players are necessarily better off under the transformed profile. In this work, we investigate the extent to which SPIs can reduce downsides of miscoordination between expected utility-maximizing agents. We consider games in which players submit computer programs that can condition their decisions on each other's code, and use this property to construct SPIs using programs capable of renegotiation. We first show that under mild conditions on players' beliefs, each player always prefers to use renegotiation. Next, we show that under similar assumptions, each player always prefers to be willing to renegotiate at least to the point at which they receive the lowest payoff they can attain in any efficient outcome. Thus subjectively optimal play guarantees players at least these payoffs, without the need for coordination on specific Pareto improvements. Lastly, we prove that renegotiation does not guarantee players any improvements on this bound.","Fri, 8 Mar 2024 07:07:47 UTC (74 KB)"
"6","Deep Backward and Galerkin Methods for the Finite State Master Equation","Asaf Cohen, Mathieu Laurière, Ethan Zell","Optimization and Control (math.OC)","This paper proposes and analyzes two neural network methods to solve the master equation for finite-state mean field games (MFGs). Solving MFGs provides approximate Nash equilibria for stochastic, differential games with finite but large populations of agents. The master equation is a partial differential equation (PDE) whose solution characterizes MFG equilibria for any possible initial distribution. The first method we propose relies on backward induction in a time component while the second method directly tackles the PDE without discretizing time. For both approaches, we prove two types of results: there exist neural networks that make the algorithms' loss functions arbitrarily small, and conversely, if the losses are small, then the neural networks are good approximations of the master equation's solution. We conclude the paper with numerical experiments on benchmark problems from the literature up to dimension 15, and a comparison with solutions computed by a classical method for fixed initial distributions.","Fri, 8 Mar 2024 01:12:11 UTC (942 KB)"
"7","A Tractability Gap Beyond Nim-Sums: It's Hard to Tell Whether a Bunch of Superstars Are Losers","Kyle Burke, Matthew Ferland, Svenja Huntemann, Shang-Hua Teng","Computational Complexity (cs.CC)","In this paper, we address a natural question at the intersection of combinatorial game theory and computational complexity: ""Can a sum of simple tepid games in canonical form be intractable?"" To resolve this fundamental question, we consider superstars, positions first introduced in Winning Ways where all options are nimbers. Extending Morris' classic result with hot games to tepid games, we prove that disjunctive sums of superstars are intractable to solve. This is striking as sums of nimbers can be computed in linear time. Our analyses also lead to a family of elegant board games with intriguing complexity, for which we present web-playable versions of the rulesets described within.","Thu, 7 Mar 2024 23:44:13 UTC (266 KB)"
"8","Stochastic Games for Interactive Manipulation Domains","Karan Muvvala, Andrew M. Wells, Morteza Lahijanian, Lydia E. Kavraki, Moshe Y. Vardi","Robotics (cs.RO)","As robots become more prevalent, the complexity of robot-robot, robot-human, and robot-environment interactions increases. In these interactions, a robot needs to consider not only the effects of its own actions, but also the effects of other agents' actions and the possible interactions between agents. Previous works have considered reactive synthesis, where the human/environment is modeled as a deterministic, adversarial agent; as well as probabilistic synthesis, where the human/environment is modeled via a Markov chain. While they provide strong theoretical frameworks, there are still many aspects of human-robot interaction that cannot be fully expressed and many assumptions that must be made in each model. In this work, we propose stochastic games as a general model for human-robot interaction, which subsumes the expressivity of all previous representations. In addition, it allows us to make fewer modeling assumptions and leads to more natural and powerful models of interaction. We introduce the semantics of this abstraction and show how existing tools can be utilized to synthesize strategies to achieve complex tasks with guarantees. Further, we discuss the current computational limitations and improve the scalability by two orders of magnitude by a new way of constructing models for PRISM-games.","Thu, 7 Mar 2024 21:46:18 UTC (3,215 KB)"
"9","The SIDO Performance Model for League of Legends","Amy X. Zhang, Parth Naidu","Applications (stat.AP)","League of Legends (LoL) has been a dominant esport for a decade, yet the inherent complexity of the game has stymied the creation of analytical measures of player skill and performance. Current industry standards are limited to easy-to-procure individual player statistics that are incomplete and lacking context as they do not take into account teamplay or game state. We present a unified performance model for League of Legends which blends together measures of a player's contribution within the context of their team, insights from traditional sports metrics such as the Plus-Minus model, and the intricacies of LoL as a complex team invasion sport. Using hierarchical Bayesian models, we outline the use of gold and damage dealt as a measure of skill, detailing players' impact on their own-, their allies'- and their enemies' statistics throughout the course of the game. Our results showcase the model's increased efficacy in separating professional players when compared to a Plus-Minus model and to current esports industry standards, while metric quality is rigorously assessed for discrimination, independence, and stability. Readers might also find additional qualitative analytics which explore champion proficiency and the impact of collaborative team-play. Future work is proposed to refine and expand the SIDO performance model, offering a comprehensive framework for esports analytics in team performance management, scouting and research realms.","Thu, 7 Mar 2024 19:46:33 UTC (434 KB)"
"10","Playing nonlocal games across a topological phase transition on a quantum computer","Oliver Hart, David T. Stephen, Dominic J. Williamson, Michael Foss-Feig, Rahul Nandkishore","Quantum Physics (quant-ph)","Many-body quantum games provide a natural perspective on phases of matter in quantum hardware, crisply relating the quantum correlations inherent in phases of matter to the securing of quantum advantage at a device-oriented task. In this paper we introduce a family of multiplayer quantum games for which topologically ordered phases of matter are a resource yielding quantum advantage. Unlike previous examples, quantum advantage persists away from the exactly solvable point and is robust to arbitrary local perturbations, irrespective of system size. We demonstrate this robustness experimentally on Quantinuum's H1-1 quantum computer by playing the game with a continuous family of randomly deformed toric code states that can be created with constant-depth circuits leveraging mid-circuit measurements and unitary feedback. We are thus able to tune through a topological phase transition - witnessed by the loss of robust quantum advantage - on currently available quantum hardware. This behavior is contrasted with an analogous family of deformed GHZ states, for which arbitrarily weak local perturbations destroy quantum advantage in the thermodynamic limit. Finally, we discuss a topological interpretation of the game, which leads to a natural generalization involving an arbitrary number of players.","Thu, 7 Mar 2024 19:00:01 UTC (1,188 KB)"
