"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"04GreatFlick","2 July 2023","That was fantastic! It had a great opening. Great action sequences. The de-aging parts were not an issue to me. I barely noticed and really the action around it was too awesome and fun to even care about it. I had an ear to ear grin the entire time! Not sure what other critics were expecting or watching. For me this movie had a certain checklist:Fun ✅
Action ✅
Indy being Indy ✅
Mystery ✅
Memorable characters ✅
Humor ✅It's not perfect or the absolutely best film in the series but it's also not the train wreck that it's being made out to be. Best advice is always to just to watch it and judge yourself. Great flick!","10/10"
"13Funbags","29 August 2018","I will only say that this movie is twice as long as it should be and has way too many characters. I won't even try to guess why they did that. I love Marvel and have a huge tolerance for bad movies, but by 29 minutes in I was ready to give up. If all the bad stuff had been cut out this would have been a great 90 minute movie.","10/10"
"3DForMe","5 March 2023","Aside from Paul Rudd having a romantic relationship with someone who looks exactly like him in this movie, this has been such a bad installment to, not only the Antman franchise, but to the MCU, PERIOD.Then again, most movies from the MCU in the past few years have not been up to par with their predecessors.Into the Quantum Realm... we get Disney crossing their franchises and making another terrible Star Wars movie. There really wasn't much fun in this movie as the previous ones. I love Antman and was so excited when they first introduced him, and they totally dumped on it.Modok...REALLY!?! How did they put that out like that? Terminator 2 was released before CGI took over the movie industry and had WAY better looking CGI than this.Kang. He was cool, but there has been so much buzz around his the actor stole the show with his portrayal, but I think anyone in that role would've made the movie exactly the same.Michael Peña...is NOT in the movie which has been such a great addition to each of the other Antman movies and an absolute fan favorite...but it seems the fans aren't who they're trying to please, here.Cassie...whatever. Really nothing particularly special about her character or the actress, herself.Seriously...SERIOUSLY just so disappointed in what Marvel has been doing lately. Just ruining everything.","6/10"
"3xHCCH","9 January 2013","I have just finished reading the book the other day, and today I got to watch the film version. With the book still so fresh in my head, I went into the cinema with very high expectations. This is specially so after reading and hearing reviews which call Ang Lee's cinematic masterpiece visually comparable to ""Avatar"" or emotionally comparable to ""The Little Prince,"" as well as all of the awards buzz.The book for me was a pleasant though slow read because of the lengthy wordy, even flowery, descriptions Yann Martel uses for his languid reflection on zoo life, his comparative study of Hindu, Christian and Moslem philosophy, and of course, his survival tale at sea by a teenager and a Bengal tiger sharing one lifeboat. It waxes philosophical in the beginning, then waxes fantastical in the middle, before settling for dry reality at the end. While a movie could probably improve on the imagery for each scene, there are several key parts of the novel that would entail a lot of narration. On the big screen, too much narration cannot be too good.My first assumption turned out to be true. The cinematography and visual effects were expectedly first rate and excellent. Those camera angles were breathtaking. The colors were very vibrant. The special effects regarding animals were realistic for the most part, especially the land mammals, particularly Richard Parker. Though I have to say that the water creatures were too obviously computer-generated, not too good. A most triumphant sequence in the film for me were the scenes on the floating green island of algae and meerkats. I thought that was ideally visualized and executed, so much better than that chapter of the book.My second assumptions also turned out true. A lot of the story needed to be narrated by an adult Pi Patel as he was being interviewed by a novelist researching for his next book. These bookending present day scenes were pretty dry for me. The whole last chapter of the book when Pi was interviewed by the Japanese shipping officials was all one long narration only without supporting imagery. All of this talky narration may be boring for some people. In order to make the film appeal to more people, Ang Lee spares us from gory details which the book was not averse to describing in graphic detail. In the film, the screen time of the zebra, orangutan and hyena was very short. For all the brutality that was supposed to have happened on board, Ang's lifeboat remains almost pristine white. I thought that was quite merciful of Ang. I wish I could also say the same for some sappy melodramatic scenes, like Richard Parker laying his head on Pi's lap, which were not in the book.Overall, this film version of ""Life of Pi"" is very good, but it can be disappointing for people who have read the book. It was a loyal albeit sanitized version of the book, which is not really a bad thing. The book was not exactly inspirational to me, more educational actually. For this film, Ang Lee seemingly aspired to make this movie inspirational, and these obvious efforts may prove to backfire for some audiences.","10/10"
"593PMP","19 June 2018","I was amazed to see so many negative reviews; so many people are impossible to please. This movie was 2 1/2 hours long, but I could have sat there another 2 1/2 hours and not noticed. Thoroughly entertaining, and I love how the directors weren't afraid to take chances. I've read a lot of other user reviews that claim that there's no plot. Unless you're mentally handicapped or not paying attention because you're on your phone the entire movie, the plot is pretty clear, and decent in my opinion.","5/10"
"661jda","1 July 2023","Thank you for bringing Indy back-after the last one, I thought you buried him. As long as Harrison Ford is around, you can always bring up an Indiana Jones saga. I'll never say anything bad about Ford's performance as Jones. Honestly believe he should have at least been nominated for RAIDERS. He never fails to please and does so again here. But the story is uneven. Sometimes speeding manically along and then when it slows down--it stops. Bringing in Waller Bridge was a good idea to keep the story lively although I'm not convinced so much of her conversion from thief at the end. Maybe the next will push her back to the dark side and the emergence of a new ""indy junior"" would be a good thing. Mads is a good villian-you will really want to hate him at one point. Unfortunately, Teddy is no Short-Round. He lacks the likeability and thats a hole in this story: he's not charismatic nor is he really likeable so you almost don't care what happens to him other than he is integral to saving Indy and Wombat towards the end. Indiana Jones is a character that really shouldn't die: he is the 1930s version of Luke Skywalker: to make him go away will almost be unAmerican, but we need to get to another hero and the next jones should be the bridge that this one wasn't. Still - I would rather pay money to see this flawed jones than pay money to see half the films that are also coming out this year.","1/10"
"851222","16 July 2017","Greetings from Lithuania.""War for the Planet of the Apes"" (2017) is amazing movie. It perfectly ended this trilogy and left me wanting for more. I do hope they will create another trilogy this time focusing on humans, but seeing what incredible movies they made about apes, i want them to me great characters as well.""War for the Planet of the Apes"" is easily one of the best movies i saw this year. The craftsmanship of this movie is nothing short of amazing. Special effects were simply flawless. Not great or amazing - they were perfect. Not for a second did i thought that i was watching CGI creations in front of me - they were there, apes, with all of emotions and etc. Andy Serkis is amazing in here. Steve Zahn stole every scene as a Bad Ape - couldn't take my eyes of him - what a movie magic. Screenplay was great, deep and dark - this is a dark movie and although it is rated PG-13 its theme is more in common with ""Apocalypse Now"" - starting from theme, mood and Woody Harrelson performance which more then once remanded me of Colonel Walter E. Kurtz. Overall, once again - ""War for the Planet of the Apes"" is an amazing motion picture. There so many quite scenes between apes that i kinda wished they just kept going. Directing by Matt Reeves was more then great - he is truly a force in Hollywood that should be get more recognition - can't wait to see his take on solo ""Batman"" movie. Cant' recommend this movie any higher - great movie.","7/10"
"851222","17 March 2013","Greetings from Lithuania.To say ""Life of Pi"" is one the two best movie of 2012 is to say nothing. This is visually most stunning film i've seen in years, yes in years. There are some breathtaking scenes of skies and waters capes, animals an almost entirely CGI created tiger (Richard Parker) makes for an amazing character.I was like a kid while watching this movie and i can't recall when the last time that happened.I'm so stupid that didn't see this movie in a theater. I watched blue ray on my projector, and that was incredible stuff (the 2:35 aspect scene is also a thing of beauty).Overall, watch this masterpiece on the biggest screen you can find, this is a movie for ages.","9/10"
"851222","18 August 2018","Greetings from Lithuania.""Avengers: Infinity War"" (2018) was a pretty fun and good movie overall. The ending kinda saved it for me to be a 7/10, ending was good and that is why i'm giving this movie 8/10. But i do not believe that it will end eventually the way it ended in this movie, common - there a more bucks needs to made from this universe. That said, i do not understand what is this movie making on the IMDB 250 list (currently at 30th position) - its definitely not that great. You can trow a rock at me if this movie is better then ""Terminator 2"" or ""Apocalypse Now"" - this only shows how many fans this movie and franchise has - not the quality of this product itself.Overall, ""Infinity War"" was a good 2 h 20 min escapism, but it suffers pacing issues here and there. At the end i liked this picture and will check the 2nd part as well.","1/10"
"851222","25 December 2023","Greetings from Lithuania.""Indiana Jones and the Dial of Destiny"" (2023) is a fun movie for a boring evening - or two. Two because at its running time 2 h 18 min this movie did drag. With a plot like this which was used and seen many times in different movies, the only thing that saved this movie for me was its technical stuff. This film is very impressive, special effects were solid and setting were great. There is a lot of action, and you have to leave a logic behind the door when watching it. The third act it basically Looney Tunes type of movie - the ridiculousness is on a next level here. But again, plenty of action, fun chase sequences, and sere scope of this film left me impressed.Overall, for me personally from all 5 movies this one is in number 4 - behind it is the one with aliens. ""Dial of Destiny"" is definitely not a bad movie and it looks spectacular - for example the de-aging effects in the opening sequence are simply perfect. What it lacks is better story and the ending was kinda meeehhhh. But for one evening this movie does its job - it entertains.","8/10"
