"X","Category","Title","Price","Rating","BrandDescription","ReviewStars"
1,"Data Storage",NA,NA,NA,"Results NA",NA
2,"Data Storage","Fastest WiFi Extender/Booster | Latest Release Up to 74% Faster | Broader Coverage Than Ever WiFi Extenders Signal Booster for Home | Internet Booster WiFi Repeater, w/Ethernet Port, Made for USA","$36.99","4.4 out of 5 stars","Sat, Jan 27  5% coupon applied at checkoutSave 5%  with coupon ",NA
3,"Data Storage","128GB microSDXC-Card, Licensed for Nintendo-Switch - SDSQXAO-128G-GNCZN","$14.99","4.8 out of 5 stars","Mon, Jan 29   FREE delivery Mon, Jan 29 on $35 of items shipped by Amazon",NA
4,"Data Storage","910 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8010, 8020 Series, HP OfficeJet Pro 8020, 8030 Series | Eligible for Instant Ink | 3YN97AN","$33.83","4.6 out of 5 stars","NA FREE delivery on $35 shipped by Amazon.",NA
5,"Data Storage",NA,NA,NA,"More results NA",NA
6,"Data Storage","USB to USB C Adapter 4 Pack,Type C Female to A Male Charger Converter for Apple Watch Ultra iWatch 8 7,iPhone 15 14 13 12 Pro Max Plus,Airpods,iPad 9 10 Air 5 Mini 6,Car,Samsung Galaxy S23 S24","$8.49","4.6 out of 5 stars","Sat, Jan 27   FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 ",NA
7,"Data Storage","Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)","$67.99","4.7 out of 5 stars","NA FREE delivery",NA
8,"Data Storage","952 Cyan, Magenta, Yellow Ink Cartridges (3-pack) | Works with HP OfficeJet 8702, HP OfficeJet Pro 7720, 7740, 8210, 8710, 8720, 8730, 8740 Series | Eligible for Instant Ink | N9K27AN","$79.89","4.7 out of 5 stars","Thu, Jan 25  Save more with Subscribe & Save",NA
9,"Data Storage","63XL Black High-yield Ink Cartridge | Works with HP DeskJet 1112, 2130, 3630 Series; HP ENVY 4510, 4520 Series; HP OfficeJet 3830, 4650, 5200 Series | Eligible for Instant Ink | F6U64AN","$50.89","4.7 out of 5 stars","Thu, Jan 25  Save more with Subscribe & Save",NA
10,"Data Storage","256GB Extreme microSDXC UHS-I Memory Card with Adapter - Up to 190MB/s, C10, U3, V30, 4K, 5K, A2, Micro SD Card - SDSQXAV-256G-GN6MA","$27.07","4.8 out of 5 stars","Sat, Jan 27   FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 ",NA
11,"Data Storage","C920x HD Pro Webcam, Full HD 1080p/30fps Video Calling, Clear Stereo Audio, HD Light Correction, Works with Skype, Zoom, FaceTime, Hangouts, PC/Mac/Laptop/Macbook/Tablet - Black","$69.99","4.6 out of 5 stars","Sat, Jan 27  $10.00 coupon applied at checkoutSave $10.00  with coupon ",NA
12,"Data Storage","128GB Extreme PRO SDXC UHS-I Memory Card - C10, U3, V30, 4K UHD, SD Card - SDSDXXD-128G-GN4IN","$20.69","4.8 out of 5 stars","Sat, Jan 27   FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 ",NA
13,"Data Storage",NA,NA,NA,"More results NA",NA
14,"Data Storage","2-Pack 3ft USB C Cable 3A Fast Charge, USB A to Type C Charger Cord Braided Compatible with Samsung Galaxy A10e A20 A50 A51 A71, S20 S10 S9 S8 Plus S10E, Note 20 10 9 8, Moto G7 G8","$6.99","4.6 out of 5 stars","Sat, Jan 27  Join Prime to buy this item at $5.98",NA
15,"Data Storage","EVO Select Micro SD-Memory-Card + Adapter, 512GB microSDXC 130MB/s Full HD & 4K UHD, UHS-I, U3, A2, V30, Expanded Storage for Android Smartphones, Tablets, Nintendo-Switch (MB-ME512KA/AM)","$34.99","4.7 out of 5 stars","Sat, Jan 27   FREE delivery Sat, Jan 27 on $35 of items shipped by AmazonOr fastest delivery Fri, Jan 26 ",NA
